Año,Mes,Tipo de Cambio,Máximo,Mínimo,Reservas BCCR,Turistas
2020,Enero,"567,05","575,78","561,91","8.211,42","1.011.921,00"
2020,Febrero,"570,52","577,65","563,91","8.102,06","1.011.921,00"
2020,Marzo,"576,00","584,50","561,32","8.032,86","1.011.921,00"
2020,Abril,"564,00","581,13","559,47","8.530,93","1.011.921,00"
2020,Mayo,"568,00","573,90","565,05","8.552,73","1.011.921,00"
2020,Junio,"577,00","581,50","567,99","8.565,14","1.011.921,00"
2020,Julio,"584,00","587,00","578,28","8.340,18","1.011.921,00"
2020,Agosto,"592,45","597,74","583,59","7.934,07","1.011.921,00"
2020,Septiembre,"601,00","605,00","592,67","8.238,14","1.011.921,00"
2020,Octubre,"605,95","610,60","599,66","7.809,20","1.011.921,00"
2020,Noviembre,"603,35","615,47","597,80","7.457,60","1.011.921,00"
2020,Diciembre,"609,10","615,27","598,76","7.224,67","1.011.921,00"
2021,Enero,"610,55","616,50","607,53","7.265,96","1.347.055,00"
2021,Febrero,"609,95","615,13","607,63","7.296,85","1.347.055,00"
2021,Marzo,"612,55","615,33","607,65","7.169,04","1.347.055,00"
2021,Abril,"612,95","619,75","609,54","7.098,41","1.347.055,00"
2021,Mayo,"613,22","619,58","610,72","6.831,14","1.347.055,00"
2021,Junio,"618,50","620,92","614,83","7.137,06","1.347.055,00"
2021,Julio,"619,15","623,28","616,35","7.375,91","1.347.055,00"
2021,Agosto,"620,35","624,65","617,15","7.564,31","1.347.055,00"
2021,Septiembre,"624,17","628,09","620,95","7.568,28","1.347.055,00"
2021,Octubre,"635,15","640,12","623,59","7.313,09","1.347.055,00"
2021,Noviembre,"626,00","644,40","627,50","6.780,75","1.347.055,00"
2021,Diciembre,"638,27","644,36","627,50","6.918,14","1.347.055,00"
2022,Enero,"640,10","645,52","631,50","6.827,93","2.349.537,00"
2022,Febrero,"641,10","646,47","638,38","6.567,83","2.349.537,00"
2022,Marzo,"653,92","664,74","639,10","7.054,10","2.349.537,00"
2022,Abril,"659,78","667,03","650,17","6.965,14","2.349.537,00"
2022,Mayo,"681,52","686,31","661,71","6.618,74","2.349.537,00"
2022,Junio,"684,58","696,38","682,06","6.197,32","2.349.537,00"
2022,Julio,"666,83","691,61","668,23","6.510,84","2.349.537,00"
2022,Agosto,"639,35","673,50","631,11","7.581,10","2.349.537,00"
2022,Septiembre,"624,38","662,50","625,57","7.566,25","2.349.537,00"
2022,Octubre,"613,10","638,06","613,00","7.753,67","2.349.537,00"
2022,Noviembre,"595,38","628,00","596,03","8.278,49","2.349.537,00"
2022,Diciembre,"591,36","606,00","579,10","8.550,01","2.349.537,00"
2023,Enero,"550,03","598,08","551,41","8.281,58","2.751.134,00"
2023,Febrero,"555,00","584,00","551,41","8.564,02","2.751.134,00"
2023,Marzo,"538,40","560,20","539,60","9.136,62","2.751.134,00"
2023,Abril,"540,50","544,14","531,12","11.137,79","2.751.134,00"
2023,Mayo,"538,15","547,50","533,88","11.021,06","2.751.134,00"
2023,Junio,"541,75","546,78","536,83","11.138,79","2.751.134,00"
2023,Julio,"543,05","553,53","535,59","11.353,90","2.751.134,00"
2023,Agosto,"537,95","546,07","532,34","11.320,88","2.751.134,00"
2023,Septiembre,"531,25","542,50","529,38","11.333,64","2.751.134,00"
2023,Octubre,"529,47","539,16","529,25","11.493,50","2.751.134,00"
2023,Noviembre,"528,50","536,59","528,22","12.876,94","2.751.134,00"
2023,Diciembre,"519,22","535,00","518,57","13.218,91","2.751.134,00"
2024,Enero,"512,73","524,06","511,03","14.337,06","2.919.483,00"
2024,Febrero,"509,05","521,17","510,99","13.756,76","2.919.483,00"
2024,Marzo,"499,39","515,68","500,00","13.387,62","2.919.483,00"
2024,Abril,"510,24","510,24","499,50","13.551,49","2.919.483,00"
2024,Mayo,"520,02","525,73","503,93","13.009,64","2.919.483,00"
2024,Junio,"523,47","532,97","517,83","13.743,30","2.919.483,00"
2024,Julio,"521,33","534,63","520,50","14.061,20","2.919.483,00"
2024,Agosto,"515,75","531,00","517,85","14.212,45","2.919.483,00"
2024,Septiembre,"516,86","526,56","514,89","14.199,84","2.919.483,00"
2024,Octubre,"510,00","521,94","512,08","14.184,32","2.919.483,00"
2024,Noviembre,"504,56","513,78","507,28","14.057,42","2.919.483,00"
2024,Diciembre,"506,66","516,28","501,36","14.170,61","2.919.483,00"
2025,Enero,"509,49","510,28","501,11","14.458,01","2.943.991,00"
2025,Febrero,"506,05","509,89","503,45","14.575,34","2.943.991,00"
2025,Marzo,"500,15","506,28","497,00","14.639,02","2.943.991,00"
2025,Abril,"505,43","514,36","499,05","14.660,88","2.943.991,00"
2025,Mayo,"507,60","510,18","501,82","14.376,13","2.943.991,00"
2025,Junio,"504,79","510,95","502,11","14.811,67","2.943.991,00"
2025,Julio,"505,29","508,61","502,22","14.605,44","2.943.991,00"
2025,Agosto,"505,57","509,41","501,57","15.246,42","2.943.991,00"
2025,Septiembre,"503,88","509,26","501,33","15.783,53","2.943.991,00"
2025,Octubre,"501,74","509,00","500,48","16.074,98","2.943.991,00"
2025,Noviembre,"493,27","504,98","492,50","17.094,76","2.943.991,00"
2025,Diciembre,"497,50","501,31","487,97","17.081,66","2.943.991,00"
